korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Bjergsted (Stavanger);Sandnes sentrum;buss;2023-2;Weekend;Weekend;0,01295054142646038;0,020197208671667872
Lura;Sola;bil;2019-3;Weekday;08:30-13:30;55,61169712740787;0,0
Dusavika (Randaberg);Sandnes sentrum;bil;2024-3;Weekday;13:30-16:30;11,198536415524881;17,510638347199915
Hinnavågen;Sykehuset;sykkel;2019-2;Weekday;13:30-16:30;8,611262239606312;0,0
Hinnavågen;Jåsund (Sola);bil;2019-4;Weekday;16:30-20:00;21,446046168029362;18,579275383358762
Lura;Hommersåk;bil;2023-3;Weekday;08:30-13:30;13,237706929804382;18,917716079404855
Klepp;Madla;gange;2023-4;Weekend;Weekend;0,03647459292472965;0,0
Hundvåg;Forus;sykkel;2023-1;Weekday;16:30-20:00;0,18924729379912614;0,0
Sola;Dusavika (Randaberg);buss;2026-1;Weekend;Weekend;16,843966744414967;18,624977817835727
Dusavika (Randaberg);Hinnavågen;buss;2024-1;Weekday;13:30-16:30;3,305649733172259;2,1977318943744426
Nærbø;Hundvåg;buss;2020-2;Weekday;08:30-13:30;0,011183915876078636;0,021686037872519767
Forus;Sykehuset;buss;2023-4;Weekend;Weekend;4,333513659162501;1,7255641670850028
Dusavika (Randaberg);Jåsund (Sola);sykkel;2025-3;Weekday;05:30-08:30;4,157296890401577;0,0
Hinnavågen;Klepp;gange;2021-4;Weekday;16:30-20:00;0,06769527909036634;0,0
Ganddal (Sandnes);Klepp;gange;2022-4;Weekday;13:30-16:30;53,922978713663525;0,0
Bjergsted (Stavanger);Jåsund (Sola);buss;2022-3;Weekday;16:30-20:00;1,0847883911773006;0,7131268127449151
Forus;Rennesøy;sykkel;2022-4;Weekday;13:30-16:30;0,0;0,0
Klepp;Paradis (Stavanger);bil;2026-1;Weekday;05:30-08:30;5,196731798810463;0,0
Stavanger sentrum;Nærbø;sykkel;2023-1;Weekday;16:30-20:00;0,0;0,0
Bjergsted (Stavanger);Paradis (Stavanger);buss;2025-4;Weekday;05:30-08:30;1,5382287521945524;0,19080988367870927
Forus;Bjergsted (Stavanger);buss;2024-1;Weekday;16:30-20:00;0,5661277695202063;0,4404331307103037
Jåsund (Sola);Hommersåk;sykkel;2022-4;Weekday;08:30-13:30;0,0;0,0
Dusavika (Randaberg);Hinnavågen;sykkel;2024-1;Weekend;Weekend;2,323019560604695;0,0
Forus;Bjergsted (Stavanger);gange;2022-2;Weekday;13:30-16:30;17,111544945895645;0,0
Hommersåk;Solborg (Stavanger);bil;2023-4;Weekday;05:30-08:30;1,9183505697427314;4,554210699839477
Paradis (Stavanger);Jåsund (Sola);bil;2022-2;Weekday;13:30-16:30;26,427695268118885;20,94110236642907
Lura;Paradis (Stavanger);gange;2023-2;Weekday;08:30-13:30;2,555850217733652;0,0
Forus;Dusavika (Randaberg);bil;2021-2;Weekday;13:30-16:30;66,10397370443624;73,7897457980524
Stavanger sentrum;Bjergsted (Stavanger);buss;2024-1;Weekday;13:30-16:30;4,3045569222219395;17,02414316839806
Nærbø;Stavanger sentrum;sykkel;2023-1;Weekday;05:30-08:30;0,0;0,0
Jåsund (Sola);Rennesøy;gange;2023-1;Weekday;13:30-16:30;0,0;0,0
Hommersåk;Bjergsted (Stavanger);sykkel;2024-4;Weekday;05:30-08:30;0,0;0,0
Stavanger sentrum;Hommersåk;sykkel;2023-2;Weekday;05:30-08:30;0,0;0,0
Hinnavågen;Bjergsted (Stavanger);bil;2019-2;Weekday;16:30-20:00;13,292557499331883;7,293221306605255
Ganddal (Sandnes);Nærbø;gange;2020-3;Weekday;08:30-13:30;24,99452486712058;0,0
Sola;Ganddal (Sandnes);buss;2020-4;Weekday;16:30-20:00;1,5264459681461018;1,1412795180318018
Paradis (Stavanger);Nærbø;sykkel;2022-1;Weekday;05:30-08:30;0,0;0,0
Bjergsted (Stavanger);Lura;gange;2022-1;Weekday;13:30-16:30;3,7825084583687825;0,0
Hinnavågen;Sola;bil;2024-1;Weekday;20:00-05:30;0,0;
Nærbø;Hinnavågen;rail;2023-2;Weekday;16:30-20:00;1,4717424506447618;0,0
Paradis (Stavanger);Paradis (Stavanger);gange;2024-4;Weekday;08:30-13:30;274,6717525943687;0,0
Rennesøy;Hommersåk;bil;2024-3;Weekday;08:30-13:30;0,2670758083498155;1,0282901667636506
Ganddal (Sandnes);Hundvåg;rail;2023-2;Weekday;05:30-08:30;0,06301038014992863;
Jåsund (Sola);Bjergsted (Stavanger);bil;2024-2;Weekday;16:30-20:00;5,792871012117479;4,250202592408158
Dusavika (Randaberg);Nærbø;gange;2022-2;Weekday;16:30-20:00;0,0;0,0
Sykehuset;Sandnes sentrum;rail;2023-4;Weekday;13:30-16:30;1,4143094827220506;0,0
Dusavika (Randaberg);Solborg (Stavanger);gange;2024-2;Weekday;16:30-20:00;14,565967361365892;0,0
Sandnes sentrum;Madla;buss;2020-2;Weekday;05:30-08:30;1,088407855611956;0,8373045550163624
Bjergsted (Stavanger);Hommersåk;bil;2020-3;Weekday;08:30-13:30;3,354642306697802;8,37755776990787
Bjergsted (Stavanger);Lura;sykkel;2019-3;Weekday;13:30-16:30;0,2663760050944174;0,0
Forus;Nærbø;gange;2023-2;Weekday;08:30-13:30;0,0;0,0
Rennesøy;Rennesøy;buss;2021-1;Weekday;13:30-16:30;0,7235983483091983;0,43031884123018754
Sykehuset;Ganddal (Sandnes);rail;2019-4;Weekday;20:00-05:30;0,20461460792206188;0,0
Lura;Hundvåg;sykkel;2024-4;Weekday;13:30-16:30;0,009353945294474768;0,0
Bjergsted (Stavanger);Ganddal (Sandnes);gange;2022-1;Weekday;05:30-08:30;0,0;0,0
Nærbø;Sandnes sentrum;rail;2023-1;Weekday;13:30-16:30;15,856259352305747;0,0
